,Common Name,Scientific Name,Status,Taxon Group
1288,Snail [no common name],Eua zebrina,Endangered,Snail
1289,Snail [no common name],Ostodes strigatus,Endangered,Snail
1290,"Snail, noonday",Mesodon clarki nantahala,Threatened,Snail
1291,"Snail, painted snake coiled forest",Anguispira picta,Threatened,Snail
1292,"Snail, Snake River physa",Physa natricina,Endangered,Snail
1293,"Snail, Stock Island tree",Orthalicus reses(not incl. nesodryas ),Threatened,Snail
1294,"Snail, tulotoma",Tulotoma magnifica,Threatened,Snail
1295,"Snail, Virginia fringed mountain",Polygyriscus virginianus,Endangered,Snail
1296,"Snails, Oahu tree",Achatinella spp.,Endangered,Snail
1297,"Springsnail, Alamosa",Tryonia alamosae,Endangered,Snail
1298,"Springsnail, Bruneau Hot",Pyrgulopsis bruneauensis,Endangered,Snail
1299,"Springsnail, Chupadera",Pyrgulopsis chupaderae,Endangered,Snail
1300,"Springsnail, Koster's",Juturnia kosteria,Endangered,Snail
1301,"Springsnail, Phantom",Pyrgulopsis texana,Endangered,Snail
1302,"Springsnail, Roswell",Pyrgulopsis roswellensis,Endangered,Snail
1303,"Springsnail, San Bernardino",Pyrgulopsis bernardina,Threatened,Snail
1304,"Springsnail, Socorro",Pyrgulopsis neomexicana,Endangered,Snail
1305,"Springsnail, Three Forks",Pyrgulopsis trivialis,Endangered,Snail
1306,"Tryonia, Diamond",Pseudotryonia adamantina,Endangered,Snail
1307,"Tryonia, Gonzales",Tryonia circumstriata,Endangered,Snail
1308,"Tryonia, Phantom",Tryonia cheatumi,Endangered,Snail
1309,"Bee, bumble, rusty patched",Bombus affinis,Endangered,Insect
1310,"Bee, yellow-faced",Hylaeus anthracinus,Endangered,Insect
1311,"Bee, yellow-faced",Hylaeus assimulans,Endangered,Insect
1312,"Bee, yellow-faced",Hylaeus facilis,Endangered,Insect
1313,"Bee, yellow-faced",Hylaeus hilaris,Endangered,Insect
1314,"Bee, yellow-faced",Hylaeus kuakea,Endangered,Insect
1315,"Bee, yellow-faced",Hylaeus longiceps,Endangered,Insect
1316,"Bee, yellow-faced",Hylaeus mana,Endangered,Insect
