"Symbol","Synonym Symbol","Scientific Name","Common Name","Status"
"COROR","COSCR","Coryphantha scheeri (Muehlenpf.) L.D. Benson var. robustispina (Schott ex Engelm.) L.D. Benson","Pima pineapple cactus","E"
"CRRI4","","Cranichis ricartii Ackerman","","E"
"CRPO6","","Crescentia portoricensis Britton","higuero de sierra","E"
"CRAV","","Crotalaria avonensis DeLaney & Wunderlin","Avon Park harebells","E"
"CRCR7","","Cryptantha crassipes I.M. Johnst.","Terlingua Creek cat's-eye","E"
"CTSQ","","Ctenitis squamigera (Hook. & Arn.) Copeland","pauoa","E"
"CUOK","","Cucurbita okeechobeensis (Small) L.H. Bailey","Okeechobee gourd","E"
"CYAC5","","Cyanea acuminata (Gaudich.) Hillebr.","haha","E"
"CYAS","","Cyanea asarifolia H. St. John","haha","E"
"CYCOC","","Cyanea copelandii Rock ssp. copelandii","haha","E"
"CYCOH2","","Cyanea copelandii Rock ssp. haleakalaensis (H. St. John) Lammers","haha","E"
"CYCR9","","Cyanea crispa (Gaudich.) Lammers, Givnish & Sytsma","","E"
"CYDU3","","Cyanea dunbariae Rock","",""
"CYDU3","CYDU2","Cyanea dunbarii Rock, orth. var.","haha","E"
"CYDU5","","Cyanea duvalliorum Lammers & H. Oppenh.","haha","E"
"CYGL5","","Cyanea glabra (E. Wimm.) H. St. John","haha","E"
"CYGRG","","Cyanea grimesiana Gaudich. ssp. grimesiana","haha","E"
"CYGRO","","Cyanea grimesiana Gaudich. ssp. obatae (H. St. John) Lammers","haha","E"
"CYHAC","","Cyanea hamatiflora Rock ssp. carlsonii (Rock) Lammers","haha","E"
"CYHAH","","Cyanea hamatiflora Rock ssp. hamatiflora","haha","E"
"CYHU2","","Cyanea humboldtiana (Gaudich.) Lammers, Givnish & Sytsma","haha","E"
"CYKO4","","Cyanea koolauensis Lammers, Givnish & Sytsma","haha","E"
"CYLO5","","Cyanea lobata H. Mann","haha","E"
"CYLO12","","Cyanea longiflora (Wawra) Lammers, Givnish & Systma","haha","E"
"CYMAG","","Cyanea macrostegia Hillebr. ssp. gibsonii (Hillebr.) Lammers","haha","E"
"CYMA5","","Cyanea magnicalyx Lammers","haha","E"
"CYMA12","","Cyanea mannii (Brigham) Hillebr.","haha","E"
"CYMA23","","Cyanea maritae Lammers & H. Oppenh.","haha","E"
"CYMC","","Cyanea mceldowneyi Rock","haha","E"
"CYPI5","","Cyanea pinnatifida (Cham.) E. Wimm.","haha","E"
"CYPL7","","Cyanea platyphylla (A. Gray) Hillebr.","haha","E"
"CYPR8","","Cyanea procera Hillebr.","haha","E"
"CYRE8","","Cyanea recta (Wawra) Hillebr.","haha","T"
